trial_id,source_dataset,alignment,n_channels,time_axis_status,confirmed_fields,missing_required_fields,formal_training_blocker
0,Kosciessa_et_al_2021,response_locked,3,inferred_from_notebook_plot_window,"trial_id,source_dataset,alignment,n_channels","subject_id,condition,evidence_strength,choice,correctness,RT_ms,response_hand,artifact_rejection_flag",Missing required trial-level metadata and source data are response-locked rather than stimulus-locked.
1,Kosciessa_et_al_2021,response_locked,3,inferred_from_notebook_plot_window,"trial_id,source_dataset,alignment,n_channels","subject_id,condition,evidence_strength,choice,correctness,RT_ms,response_hand,artifact_rejection_flag",Missing required trial-level metadata and source data are response-locked rather than stimulus-locked.
2,Kosciessa_et_al_2021,response_locked,3,inferred_from_notebook_plot_window,"trial_id,source_dataset,alignment,n_channels","subject_id,condition,evidence_strength,choice,correctness,RT_ms,response_hand,artifact_rejection_flag",Missing required trial-level metadata and source data are response-locked rather than stimulus-locked.
3,Kosciessa_et_al_2021,response_locked,3,inferred_from_notebook_plot_window,"trial_id,source_dataset,alignment,n_channels","subject_id,condition,evidence_strength,choice,correctness,RT_ms,response_hand,artifact_rejection_flag",Missing required trial-level metadata and source data are response-locked rather than stimulus-locked.
4,Kosciessa_et_al_2021,response_locked,3,inferred_from_notebook_plot_window,"trial_id,source_dataset,alignment,n_channels","subject_id,condition,evidence_strength,choice,correctness,RT_ms,response_hand,artifact_rejection_flag",Missing required trial-level metadata and source data are response-locked rather than stimulus-locked.
5,Kosciessa_et_al_2021,response_locked,3,inferred_from_notebook_plot_window,"trial_id,source_dataset,alignment,n_channels","subject_id,condition,evidence_strength,choice,correctness,RT_ms,response_hand,artifact_rejection_flag",Missing required trial-level metadata and source data are response-locked rather than stimulus-locked.
6,Kosciessa_et_al_2021,response_locked,3,inferred_from_notebook_plot_window,"trial_id,source_dataset,alignment,n_channels","subject_id,condition,evidence_strength,choice,correctness,RT_ms,response_hand,artifact_rejection_flag",Missing required trial-level metadata and source data are response-locked rather than stimulus-locked.
7,Kosciessa_et_al_2021,response_locked,3,inferred_from_notebook_plot_window,"trial_id,source_dataset,alignment,n_channels","subject_id,condition,evidence_strength,choice,correctness,RT_ms,response_hand,artifact_rejection_flag",Missing required trial-level metadata and source data are response-locked rather than stimulus-locked.
8,Kosciessa_et_al_2021,response_locked,3,inferred_from_notebook_plot_window,"trial_id,source_dataset,alignment,n_channels","subject_id,condition,evidence_strength,choice,correctness,RT_ms,response_hand,artifact_rejection_flag",Missing required trial-level metadata and source data are response-locked rather than stimulus-locked.
9,Kosciessa_et_al_2021,response_locked,3,inferred_from_notebook_plot_window,"trial_id,source_dataset,alignment,n_channels","subject_id,condition,evidence_strength,choice,correctness,RT_ms,response_hand,artifact_rejection_flag",Missing required trial-level metadata and source data are response-locked rather than stimulus-locked.
10,Kosciessa_et_al_2021,response_locked,3,inferred_from_notebook_plot_window,"trial_id,source_dataset,alignment,n_channels","subject_id,condition,evidence_strength,choice,correctness,RT_ms,response_hand,artifact_rejection_flag",Missing required trial-level metadata and source data are response-locked rather than stimulus-locked.
11,Kosciessa_et_al_2021,response_locked,3,inferred_from_notebook_plot_window,"trial_id,source_dataset,alignment,n_channels","subject_id,condition,evidence_strength,choice,correctness,RT_ms,response_hand,artifact_rejection_flag",Missing required trial-level metadata and source data are response-locked rather than stimulus-locked.
12,Kosciessa_et_al_2021,response_locked,3,inferred_from_notebook_plot_window,"trial_id,source_dataset,alignment,n_channels","subject_id,condition,evidence_strength,choice,correctness,RT_ms,response_hand,artifact_rejection_flag",Missing required trial-level metadata and source data are response-locked rather than stimulus-locked.
13,Kosciessa_et_al_2021,response_locked,3,inferred_from_notebook_plot_window,"trial_id,source_dataset,alignment,n_channels","subject_id,condition,evidence_strength,choice,correctness,RT_ms,response_hand,artifact_rejection_flag",Missing required trial-level metadata and source data are response-locked rather than stimulus-locked.
14,Kosciessa_et_al_2021,response_locked,3,inferred_from_notebook_plot_window,"trial_id,source_dataset,alignment,n_channels","subject_id,condition,evidence_strength,choice,correctness,RT_ms,response_hand,artifact_rejection_flag",Missing required trial-level metadata and source data are response-locked rather than stimulus-locked.
15,Kosciessa_et_al_2021,response_locked,3,inferred_from_notebook_plot_window,"trial_id,source_dataset,alignment,n_channels","subject_id,condition,evidence_strength,choice,correctness,RT_ms,response_hand,artifact_rejection_flag",Missing required trial-level metadata and source data are response-locked rather than stimulus-locked.
16,Kosciessa_et_al_2021,response_locked,3,inferred_from_notebook_plot_window,"trial_id,source_dataset,alignment,n_channels","subject_id,condition,evidence_strength,choice,correctness,RT_ms,response_hand,artifact_rejection_flag",Missing required trial-level metadata and source data are response-locked rather than stimulus-locked.
17,Kosciessa_et_al_2021,response_locked,3,inferred_from_notebook_plot_window,"trial_id,source_dataset,alignment,n_channels","subject_id,condition,evidence_strength,choice,correctness,RT_ms,response_hand,artifact_rejection_flag",Missing required trial-level metadata and source data are response-locked rather than stimulus-locked.
18,Kosciessa_et_al_2021,response_locked,3,inferred_from_notebook_plot_window,"trial_id,source_dataset,alignment,n_channels","subject_id,condition,evidence_strength,choice,correctness,RT_ms,response_hand,artifact_rejection_flag",Missing required trial-level metadata and source data are response-locked rather than stimulus-locked.
19,Kosciessa_et_al_2021,response_locked,3,inferred_from_notebook_plot_window,"trial_id,source_dataset,alignment,n_channels","subject_id,condition,evidence_strength,choice,correctness,RT_ms,response_hand,artifact_rejection_flag",Missing required trial-level metadata and source data are response-locked rather than stimulus-locked.
20,Kosciessa_et_al_2021,response_locked,3,inferred_from_notebook_plot_window,"trial_id,source_dataset,alignment,n_channels","subject_id,condition,evidence_strength,choice,correctness,RT_ms,response_hand,artifact_rejection_flag",Missing required trial-level metadata and source data are response-locked rather than stimulus-locked.
21,Kosciessa_et_al_2021,response_locked,3,inferred_from_notebook_plot_window,"trial_id,source_dataset,alignment,n_channels","subject_id,condition,evidence_strength,choice,correctness,RT_ms,response_hand,artifact_rejection_flag",Missing required trial-level metadata and source data are response-locked rather than stimulus-locked.
22,Kosciessa_et_al_2021,response_locked,3,inferred_from_notebook_plot_window,"trial_id,source_dataset,alignment,n_channels","subject_id,condition,evidence_strength,choice,correctness,RT_ms,response_hand,artifact_rejection_flag",Missing required trial-level metadata and source data are response-locked rather than stimulus-locked.
